Rank,TeamId,TeamName,LastSubmissionDate,score,SubmissionCount,TeamMemberUserNames
38,19685,Ludie,"2012-07-03 16:14:16",0.60657,4,ludieli
39,18696,hugo.lien,"2012-06-20 18:13:29",0.60781,6,hugolien
40,18004,"des & the FFBs","2012-07-03 14:17:24",0.60788,46,"aparaskev,ctsats,spirosparaskevas"
41,19464,mmmmmong,"2012-07-03 19:46:49",0.60850,12,domcastro
42,18429,smiler,"2012-07-02 13:35:35",0.60945,21,smiler
43,17239,ww_nyc,"2012-07-01 14:28:43",0.61041,36,weiwunyc
44,17275,Alexander.Shaposhnikov,"2012-07-02 22:08:42",0.61071,26,alexandershaposhnikov
45,19430,student2012,"2012-07-02 20:07:51",0.61205,11,studentkgl2012
46,18960,BarrenWuffet,"2012-07-03 22:48:27",0.61328,18,barrenwuffet
47,17988,Shumarci,"2012-06-06 02:23:15",0.61498,8,shumarci
48,18691,Laura,"2012-06-29 13:40:14",0.61761,6,lalogatti
49,16692,Adam,"2012-05-22 05:27:53",0.61817,24,adamhusein
50,19453,"Pablo Ruggia","2012-07-01 03:01:11",0.61887,5,pabloruggia1
51,19387,"Magic Tree","2012-07-03 22:47:27",0.61946,11,roelbakker
52,18101,"One Man Army","2012-07-03 18:44:53",0.62029,15,rkirana
53,19350,Inoddy,"2012-07-03 23:28:17",0.62073,19,matlab
54,18963,degoodm,"2012-07-03 01:22:43",0.62073,6,dgboy2000
55,17714,ApocalypseResearch,"2012-07-03 23:02:31",0.62101,17,apocalypseresearch
56,18985,Imran,"2012-06-22 23:03:58",0.62104,7,imran2
57,19037,CD2KP,"2012-06-27 15:18:21",0.62181,11,patrick15
58,19214,AMPires,"2012-07-03 23:57:02",0.62322,24,ampires
59,16678,mrogan81,"2012-07-03 13:58:05",0.62589,25,orukusaki
60,19702,boddakantha,"2012-07-03 05:31:48",0.62663,2,boddakantha
61,16953,Outis,"2012-05-21 07:18:07",0.62714,11,outis1
62,18345,milano,"2012-06-17 22:49:43",0.62797,2,linus0
63,16836,kpb,"2012-06-30 13:18:45",0.62858,35,konradb
64,16782,D3PO,"2012-05-25 07:20:35",0.62922,7,d3potf
65,19020,sterbaj,"2012-07-02 14:41:53",0.63020,15,sterbaj
66,16672,bfs,"2012-07-03 16:16:26",0.63079,10,weilinear
67,17832,Sergey,"2012-06-06 13:57:06",0.63093,5,edunov
68,17752,"Quantitative thoughts","2012-07-03 22:12:33",0.63134,44,dzidas
69,16902,maternaj,"2012-07-03 18:38:43",0.63176,14,maternaj
70,17786,"Ice Nine","2012-07-03 18:57:19",0.63207,35,"carlos3,danielkang,fuurinkazan,hoenikker,josephi,timchan0"
71,16674,joshnk,"2012-07-03 03:42:15",0.63379,23,chrisbrew
72,17101,redjava,"2012-07-03 23:40:57",0.63495,17,redjava
73,17185,Chase,"2012-05-16 18:48:02",0.63501,1,chaseos
74,16838,"Corey Lynch","2012-05-15 05:37:39",0.63586,13,coreylynch9
75,19208,Incumbent,"2012-07-03 16:03:36",0.63645,15,pavanholla
76,19370,elrude,"2012-06-30 00:02:08",0.63840,9,elrude
77,17197,YaTa,"2012-07-03 18:37:22",0.63960,29,yassertabandeh
78,16780,razgon,"2012-07-03 16:07:35",0.64017,28,razgon
79,17593,rminhas,"2012-06-09 16:16:24",0.64031,14,rminhas
80,16969,Manuel,"2012-06-25 09:15:28",0.64112,16,manueldiaz
81,18706,simsim,"2012-07-03 22:54:03",0.64134,22,"sunilv,sushil3"
82,17493,eggershead,"2012-05-31 02:49:54",0.64137,14,eggershead
83,16854,Adaptive,"2012-05-13 14:23:45",0.64137,9,christophmf
84,18619,y_tag,"2012-07-01 03:24:32",0.64161,19,ytag33499
85,18532,"James Fraser","2012-06-19 13:49:14",0.64165,6,jamesfraser
86,17884,jgreen,"2012-06-29 15:18:27",0.64182,16,jessedavidg
87,18481,Roseyland,"2012-07-03 12:04:30",0.64186,35,roseyland
88,19514,"shenggang Li","2012-07-03 01:47:11",0.64216,6,datalev
89,16719,CCL,"2012-06-04 22:05:34",0.64412,19,"bc42250,toekneechin"
90,18753,walkingsparrow,"2012-06-20 01:27:48",0.64581,6,walkingsparrow
91,17260,pim#,"2012-07-03 19:44:26",0.65132,38,spimenov
92,19299,Victorus,"2012-06-27 11:41:37",0.65269,6,victorus
93,16867,DataMiner,"2012-05-21 03:23:33",0.65310,19,"del=198f8bedb3f49642,ensemble,entropyxy"
94,18048,miharan666,"2012-06-29 20:18:06",0.65416,23,miharan666
95,18972,Vags,"2012-06-29 09:33:48",0.65430,11,aishwarya
96,16684,NoTrick,"2012-05-08 02:26:30",0.65540,6,notrick
97,19498,krishnaguy,"2012-07-03 02:34:49",0.65789,11,krishnaguy
98,19265,vsu,"2012-07-03 18:59:51",0.65954,20,vsu1664
99,16880,Student1,"2012-07-03 20:50:31",0.66077,13,quansun
100,18836,sukku,"2012-06-22 05:53:15",0.66117,11,del=adffc1075f272a08
101,18862,"Rage against the machine learning","2012-07-03 23:55:10",0.66170,6,alsafr
102,17285,Naive,"2012-05-24 03:12:40",0.66257,12,xlvector
103,17114,MPRI,"2012-06-21 19:55:15",0.66282,4,mpresearch
104,18939,ABUs,"2012-06-21 14:56:52",0.66361,6,abus46928
105,17396,pumbo,"2012-06-29 06:11:45",0.66377,30,"laxmiv,vilax30541"
106,18940,"Brian Elwell","2012-07-03 23:45:15",0.66454,25,brianelwell
107,19343,Nexus,"2012-06-28 00:14:00",0.66457,10,nexus9340
108,17509,"Max Patterman","2012-06-05 07:02:39",0.66492,10,manuelk
109,17338,Girls,"2012-05-25 02:01:47",0.66559,12,liz1984
110,17530,Sollers,"2012-07-03 21:18:37",0.66591,12,mpionnier
111,19333,Dasha,"2012-07-03 17:34:56",0.66649,16,dasha1
112,19200,alfa,"2012-07-03 10:55:24",0.66655,14,alfa146790
113,18640,draconian,"2012-06-15 18:55:53",0.66778,7,draconian
114,17390,"Phoenix Optimus ","2012-06-27 01:15:53",0.66833,38,sphxphx
115,17365,Predictor,"2012-07-02 23:26:51",0.67227,53,predictor2
116,16659,Ghazian,"2012-05-08 00:45:38",0.67257,8,del=e6f652323565265b
117,17088,"Zach A.","2012-06-05 00:49:18",0.67289,10,zacha20941
118,19108,Pirlo,"2012-07-02 12:56:16",0.67499,21,magicjin
119,19433,atb2215,"2012-07-03 06:05:01",0.67568,4,atb2215
120,16737,KoCTuK,"2012-05-10 10:23:22",0.67838,7,koctuk
121,16771,"Penca Vetricek","2012-05-11 05:43:31",0.67889,9,petricek
122,18978,voId,"2012-06-28 08:46:48",0.68110,6,varadarajanck
123,18279,mogron,"2012-06-17 12:30:57",0.68164,13,moritzg
124,18234,Venantius,"2012-06-11 08:03:51",0.68201,9,venantius
125,16827,Danio,"2012-05-20 07:44:55",0.68279,12,danioyuan
126,19391,tryhard,"2012-07-02 22:41:14",0.68334,7,gmobaz
127,16699,Bjorn,"2012-06-04 12:04:38",0.68395,19,drbwox
128,18460,TomHall,"2012-06-16 14:32:04",0.68626,12,hetong007
129,17399,"Dirk Nachbar","2012-05-30 15:33:20",0.68643,14,dirknbr
130,16978,Luchon,"2012-05-24 03:00:55",0.68862,11,toulouse
131,18637,mathdoc19,"2012-06-14 18:34:41",0.68902,5,mathdoc19
132,17178,datam1n,"2012-06-01 12:01:44",0.68904,22,"bbotibboti,csapatnev"
133,17977,eraviv,"2012-06-03 14:33:20",0.68957,3,eraviv
134,19028,Chaos,"2012-06-19 12:54:27",0.69089,2,pvk680
135,19094,undef1,"2012-06-20 11:55:10",0.69112,2,undef1
136,16644,dynamic24,"2012-07-03 20:04:55",0.69194,65,dynamic24
137,19058,furiouseskimo,"2012-07-03 02:27:33",0.69237,12,shnthn
138,19406,"Юрий Бахвалов","2012-07-03 14:03:02",0.69337,4,bahvalov
139,18239,"Pedro Coelho","2012-07-03 10:52:48",0.69361,17,pedrocoelho
140,19095,Victor,"2012-07-03 23:28:34",0.69450,3,nedelko
141,17230,Mladen,"2012-06-22 19:55:48",0.69509,7,laudanovic
142,17288,Winterfell,"2012-06-27 01:08:18",0.69539,11,fancyspeed
143,19129,"Amos Bourne","2012-06-20 22:13:44",0.69576,2,amosbourne
144,16890,Worganzola,"2012-05-20 17:44:35",0.69614,11,"del=38ac05529e9a2e8e,tensorsfloatingdiscriminant"
145,17603,nonsleepr,"2012-06-11 05:05:33",0.69934,21,nonsleepr
146,16755,BJG,"2012-06-26 01:57:44",0.70355,22,bjg9846
147,17999,Jinhui,"2012-06-27 00:17:01",0.70357,5,jinhui
148,19302,dmuc,"2012-06-23 23:26:15",0.70444,2,dmuc47790
149,18019,tony1616,"2012-07-03 00:28:35",0.70661,49,tony1616
150,19071,ExpertVideoForensics.com,"2012-07-03 15:56:26",0.70761,20,"littleo,megabeagle,ndwork"
151,19026,"Senki Alfonz","2012-06-19 16:38:00",0.70989,2,posfaig
152,16832,shbahd,"2012-07-02 08:47:00",0.71065,50,askshuaib
153,18382,"[Deleted] d43ef2b9-4207-4280-82dd-815607e014cd","2012-06-15 19:42:34",0.71108,6,del=610c9eed2b79dcf9
154,17882,Donediz,"2012-06-13 07:37:56",0.71191,6,"donmezp,volkan0"
155,16904,"Blind Ape","2012-05-13 23:03:04",0.71232,3,blindape
156,19598,"[Deleted] 1385d5c0-ce46-4743-b322-56c908f60077","2012-07-03 23:51:04",0.71256,2,del=a957a86eb414bb89
157,16938,ericmichael,"2012-05-24 04:34:30",0.71382,8,ericmichael
158,17503,FredD,"2012-06-29 09:23:47",0.71631,10,fredd42505
159,19600,cantabrigians,"2012-07-02 18:19:22",0.71713,2,"davidaknowles,josemiguelhernandezlobato"
160,17816,magnalytics,"2012-06-12 18:39:43",0.71789,15,magnalytics
161,19582,fire_damp,"2012-07-03 08:17:17",0.71918,5,alec48047
162,17367,"Dale Lehman","2012-06-26 21:50:20",0.72116,20,"dlehman,user550843527"
163,17214,"Gurupad S. Hegde","2012-07-03 07:49:37",0.72314,5,gshguru
164,19570,"Chasing Bayes","2012-07-01 22:31:35",0.72337,2,jvangael
165,16783,imonike,"2012-06-04 09:17:11",0.72449,16,imonike
166,16733,oinergehtnoch,"2012-05-07 07:09:17",0.72472,4,"dvallin,jack1988"
167,18250,Tropa,"2012-06-24 05:13:42",0.72472,6,"bellezeta,luizfilho,pedrolimeira,thestudent"
168,19152,datamining.fm,"2012-07-03 17:00:46",0.72515,18,markwielgus
169,16679,DuckTile,"2012-06-12 09:30:58",0.72520,17,ducktile
170,19276,cotdp,"2012-06-23 21:58:56",0.72541,2,cotdp40439
171,17681,meanregression,"2012-05-27 21:17:51",0.72549,2,meanregression
172,17893,Sffetka,"2012-06-01 03:13:25",0.72649,2,sffetka
173,16718,idrach55,"2012-05-11 02:01:54",0.72739,9,idrach55
174,17612,Rohit,"2012-05-28 00:01:17",0.72757,2,rohits
175,17897,Henrik,"2012-06-24 15:58:46",0.72790,10,hhedlund
176,17169,gc86,"2012-05-16 11:51:10",0.72791,1,gokulchittaranjan
177,18729,dynostat,"2012-06-14 07:49:27",0.72957,1,dynostat
178,18238,DM2011_GNJ,"2012-06-22 13:10:50",0.73070,5,dm2011gnj
179,16712,Tony_R,"2012-07-03 10:20:20",0.73108,20,aranauro
180,18490,"Fighting Mongooses","2012-06-25 04:58:01",0.73198,4,zacstewart
181,16889,"Random Amazon","2012-07-03 22:55:26",0.73250,20,jofaichow
182,17823,dd,"2012-06-26 20:30:19",0.73424,17,dominikp
183,18072,varadharajan,"2012-06-05 06:33:57",0.73573,1,srinathsmn
184,17829,Rajag,"2012-06-01 22:59:51",0.73580,4,rajapasupuleti
185,19122,"Jinbo Chen","2012-07-01 21:05:56",0.73675,10,jinbochen
186,17542,"The Anterior Cruciate Ligaments","2012-07-03 19:26:57",0.73770,28,"ivanko,jsrawan99,ralf143839"
187,17643,Godel,"2012-05-27 08:13:54",0.73860,3,"madhavkumar2005,shreyes"
188,19731,Astronomer,"2012-07-03 17:29:13",0.73871,2,astronomer
189,17629,Akoon,"2012-05-26 10:16:24",0.73889,2,vinooka
190,17556,mosstat,"2012-05-25 08:54:23",0.73901,4,mosstat
191,19103,Nenov,"2012-06-20 18:23:03",0.73930,2,nenov47496
192,17930,"Advanced Data Miner","2012-06-15 15:25:39",0.74053,3,advanceddataminer
193,18749,katdabilla,"2012-06-21 15:51:59",0.74546,6,katdabilla
194,18798,davkat,"2012-06-21 16:00:58",0.74570,4,davkat
195,16932,ggl,"2012-05-19 07:24:19",0.74810,7,glau37985
196,16857,bdomokos74,"2012-06-08 00:27:31",0.74833,4,bdomokos74
197,19533,WxYYZ,"2012-07-03 23:49:35",0.74875,9,wxyyzz
198,17420,hildaer,"2012-05-25 00:01:26",0.75002,5,hildaer0
199,18365,math,"2012-06-15 12:28:58",0.75074,10,math34143
200,18804,chrisdav,"2012-06-15 15:41:15",0.75331,2,chrisdav
201,17929,Stima,"2012-06-15 15:02:38",0.75397,3,stima44496
202,17911,jothy,"2012-06-14 11:08:33",0.75537,6,jothy17269
203,17932,spssmodeler,"2012-06-15 15:56:55",0.75545,4,spssmodeler
204,18793,andybrandy&ernst,"2012-06-15 14:39:02",0.75545,1,andybrandy
205,18794,Gryzor,"2012-06-15 15:29:18",0.75545,2,gryzor
206,18795,cfdb,"2012-06-15 15:05:28",0.75545,2,cfdb46813
207,18796,sitting_bulls,"2012-06-15 15:07:03",0.75545,2,sittingbulls
208,17877,Gabe,"2012-06-15 08:11:06",0.75597,5,gkronber
209,19704,"David Kedziora","2012-07-03 07:48:15",0.75665,2,davidkedz
210,17108,Dellian,"2012-05-16 02:28:19",0.75695,2,daiernan
211,18797,IEM_GMFW,"2012-06-15 15:09:43",0.75805,1,florianwunderle
212,18053,"The MultiRaptor","2012-07-03 15:51:29",0.75905,14,bradparent
213,17017,leapingllamas,"2012-05-13 02:11:33",0.75913,2,leapingllamas
214,16966,RobinG,"2012-05-14 13:03:14",0.75924,7,robing
215,18773,Roman,"2012-06-16 07:20:02",0.75995,3,roman3
216,18785,k.nishiwaki,"2012-06-22 05:15:54",0.76580,9,knishiwaki
217,16665,shali,"2012-06-17 14:44:12",0.76810,15,shali13341
218,19331,"Francois GUILLEM","2012-06-24 15:09:07",0.76904,2,francoisguillem
219,19215,eminer123,"2012-06-25 15:29:09",0.77111,4,eminer123
220,18955,fuzzybeam,"2012-06-27 21:27:46",0.77159,7,fuzzybeam
221,18321,UTAL_IN_2012_PHC,"2012-06-23 01:42:06",0.77349,10,utalca2012
222,19006,bob,"2012-07-03 02:33:38",0.77562,11,paulmnz
223,18586,hxy_test,"2012-06-12 13:16:39",0.77695,3,hxytest
224,17098,Confluence,"2012-05-16 03:50:47",0.77759,4,starkstatistics
225,17355,Aleix,"2012-07-02 21:46:03",0.77875,5,aleix10271
226,16849,nlubchenco,"2012-05-16 09:53:20",0.78157,5,nlubchenco
227,17128,Gilles,"2012-05-18 15:31:30",0.78234,5,glouppe
228,18742,MTich,"2012-06-21 18:31:35",0.78667,6,dontich
229,17253,Oscar,"2012-05-19 04:19:05",0.78819,3,oscar4
230,19584,sao,"2012-07-02 01:59:02",0.78821,3,saoconnell
231,17584,asdf,"2012-05-29 00:53:45",0.79242,9,"benkasper,edmundhelmer,sebastianjbp"
232,16660,NS,"2012-05-06 23:31:11",0.79745,4,fritopie
233,18983,clancy.birrell,"2012-06-30 15:47:44",0.80022,3,clancybirrell
234,17324,"Ivan R.","2012-05-21 14:17:37",0.80174,3,ivanr22004
235,17257,j10,"2012-05-18 16:05:47",0.80352,1,j1023698
236,17386,jwksiaw,"2012-05-21 03:12:48",0.80508,1,jwksiaw
237,19089,caishen,"2012-06-27 08:39:16",0.80644,4,user86hacker
238,19454,Kenneth,"2012-06-27 09:35:14",0.80652,2,kenneth6
239,16905,"Lei CHEN","2012-05-22 03:30:16",0.80692,4,gausschen
240,17861,"Goce Ristanoski","2012-06-01 07:31:10",0.80704,3,goceristan
241,17077,bearcatminer,"2012-05-19 00:32:57",0.80720,11,artisticanalytics
242,19035,"Techneficus Analytics","2012-06-19 16:00:18",0.80738,2,techneficusanalytics
243,16663,Thundercats,"2012-05-07 06:13:34",0.80752,2,"elizabethwu,peterphillips"
244,17831,[Deleted],"2012-05-31 03:16:33",0.80796,1,del=f53bb1be2446cb1b
245,18264,Thierry,"2012-06-07 13:41:12",0.80823,2,thierry
246,18645,InvincibleGuy,"2012-06-17 22:17:13",0.80827,2,invinciblejha
247,19476,Chen&Xu,"2012-06-28 01:46:26",0.80832,2,newtohere
0,16499,"Random Forest Benchmark","2012-05-01 23:56:48",0.80850,1,dchudz
248,19268,"Kannappan Sirchabesan","2012-06-23 09:43:33",0.80865,1,hashkanna
249,19401,Affine_01,"2012-06-26 09:00:30",0.80868,2,prasundas
250,19384,"Steven Taylor","2012-06-25 20:40:40",0.80876,1,andersontaylor
251,19397,coolgautam,"2012-06-26 09:07:56",0.80877,2,crossgg
252,16686,Foxtrot,"2012-05-05 14:41:13",0.80889,1,zygmunt
253,19003,Neutrino,"2012-06-27 02:38:00",0.80890,4,neutrino0
254,17056,caxap,"2012-06-21 01:17:19",0.80893,6,whitefang
255,16714,pgustaf,"2012-05-06 02:23:01",0.80898,1,pgustafs
256,16944,AppliedML,"2012-05-14 04:50:45",0.80906,2,"joezhou,xin538419"
257,19349,Cephalopod,"2012-06-24 23:23:36",0.80910,1,cephalopod
258,17512,liamgriffiths,"2012-05-25 23:30:54",0.80941,6,liamgriffiths
259,16985,gepuro,"2012-05-12 06:22:54",0.80975,2,gepuro
260,18451,snoopy,"2012-06-12 05:50:42",0.80976,3,snoopy0
261,19484,"Rakesh Singh","2012-06-28 09:39:04",0.80981,1,"rakeshsingh,viditb,zerobyzero"
262,19201,wiii,"2012-06-22 11:45:12",0.81025,2,wiii47779
263,19221,nokia,"2012-06-22 18:18:37",0.81062,2,nokia47811
264,17721,UTalca_GGLP_2012,"2012-06-23 00:44:51",0.81062,7,utalcagglp2012
265,16819,"Mayors of Sheldonopolis","2012-05-08 03:48:39",0.81062,2,"ajay118227,jayaram"
266,19231,negra,"2012-06-22 21:02:36",0.81066,2,negra47815
267,17011,b_ham,"2012-05-12 21:41:35",0.81091,1,bham28705
268,18624,Kaggler,"2012-06-17 18:35:58",0.81095,5,kaggler3
269,19173,ArcaneLord,"2012-06-22 03:46:42",0.81127,2,ekandrot
270,19284,"Y Shaham","2012-06-23 18:02:53",0.81291,1,herzliyati
271,19367,"Chetan Nichkawde","2012-06-26 10:49:43",0.81404,4,cnichkawde
272,19330,fudingyu,"2012-06-24 12:24:20",0.81557,2,fudingyu
273,18467,Argus,"2012-06-22 08:44:15",0.81600,8,argus39125
274,17949,Vickifu,"2012-06-21 23:25:26",0.82005,19,del=f7d8083f1847cca6
275,17471,Learner,"2012-05-23 05:14:27",0.82551,3,alan13
276,17863,henzlers,"2012-05-31 17:13:52",0.84092,1,henzlers
277,19386,remotepath,"2012-06-25 21:54:09",0.84137,1,syllogismos
278,17473,a.bessalov,"2012-06-10 23:02:11",0.84577,8,bessalov
279,17541,EscargoMan,"2012-06-27 01:53:50",0.84634,24,escargoman
280,19715,Aoxi,"2012-07-03 12:31:59",0.85316,1,trempont
281,19383,Butteryfly,"2012-06-25 19:55:00",0.85777,1,butteryfly
282,18292,MMP,"2012-07-01 14:50:04",0.85778,3,mattes
283,17652,RetentionScience,"2012-06-03 06:42:46",0.86298,6,ronald1
284,18436,artificially,"2012-06-14 23:56:31",0.86334,2,bayesianfoo
285,17059,agabad,"2012-05-16 00:34:58",0.86618,6,agabad
286,17030,ELSRLS,"2012-06-03 18:45:01",0.87091,13,elsrls
287,19742,"Bill Szaroletta, P.E.","2012-07-03 21:22:49",0.87766,2,szaroletta
288,16855,David,"2012-05-17 02:27:31",0.89013,1,david59
289,17594,oda325,"2012-06-21 15:20:49",0.89107,9,oda325
290,19097,grizzli3k,"2012-06-29 09:10:46",0.89269,8,grizzli3k
291,18781,AdjustedRSquared,"2012-07-03 18:40:18",0.89925,3,patrickracsa
292,19137,nehac,"2012-06-21 01:14:02",0.91453,1,nehac39001
293,17468,sbohs,"2012-05-22 16:03:48",0.94533,1,sbohs43271
294,18885,"Toni Bella","2012-06-20 14:45:03",0.95694,6,toniwent
295,17156,sarajevo,"2012-05-26 03:16:53",0.95707,12,sarajevo
296,16896,sghosh,"2012-05-17 14:15:29",0.95979,13,sghosh
297,17808,LoveSaves,"2012-06-03 07:50:23",0.96029,4,kimsimonsen
298,19735,TeamSt.Duquesne'sCollegeofNYNJPA,"2012-07-03 19:15:15",0.97228,2,gdsidlemath
299,19017,"Beto ","2012-06-22 05:22:30",0.97879,6,gfjutal
300,17204,SheldonCooper,"2012-05-17 07:24:59",0.98316,1,sheldoncooper0
301,17860,"John Smith","2012-06-07 14:10:31",0.99653,3,johnsmith6
302,19219,"wuaka wuaka","2012-06-22 17:24:23",0.99836,2,wuakawuaka
303,19727,Li-Der,"2012-07-03 19:45:31",1.00575,2,liderchang
304,16766,Chao,"2012-06-20 06:53:44",1.00646,4,datagirl
305,17606,Geneva,"2012-05-26 10:19:09",1.02701,3,geneva
306,18893,RichardPlunkett,"2012-06-16 14:11:23",1.02984,2,richardplunkett
307,19150,eMarchenko,"2012-06-21 08:18:09",1.02985,1,emarchenko
308,19286,Boyko,"2012-06-23 18:30:27",1.03111,1,boyko40304
309,19243,JJXW,"2012-06-26 00:41:15",1.03668,7,jjxwang
310,17618,Kaggle,"2012-05-26 03:55:38",1.06241,1,cradlechiu
311,17733,QuantQ,"2012-05-29 02:48:25",1.06959,1,quantq
312,19000,"Golden Bears","2012-07-02 22:49:32",1.07493,3,"kubqr1,nerdyback"
313,19743,soulutions,"2012-07-03 20:44:51",1.07964,2,soulutions
314,19191,BOZA,"2012-06-22 08:29:52",1.08537,2,milosbozic
315,19164,vaibhav,"2012-06-21 17:49:46",1.09930,1,vaibhavpawar
316,18792,PFMI,"2012-06-15 14:32:12",1.13072,2,pfmi46808
317,17931,bufl,"2012-06-15 14:06:33",1.13138,3,bufl44498
318,19604,TanoPereira,"2012-07-01 19:25:38",1.13178,2,tanopereira
319,19156,"[Deleted] a5d1f091-0591-4d05-8ae8-c5f2577ff949","2012-07-03 18:30:47",1.15279,2,del=366f5fab84dca33e
320,19696,"Ed Ramsden","2012-07-03 02:21:58",1.16323,2,edramsden
321,18763,test,"2012-06-20 02:40:25",1.16492,4,test935488
322,18558,mauvesteven,"2012-06-25 15:24:14",1.16540,7,mauvesteven
323,17925,"Kris Jack","2012-06-01 15:02:40",1.18499,2,oghmax
324,17564,svgiri,"2012-05-26 04:57:35",1.18902,6,modelbuilder
325,17730,ChicagoBooth,"2012-06-04 15:14:27",1.19200,3,chiarapiccino
326,18003,"Duffer Davies","2012-06-24 09:17:24",1.19303,3,dufferdavies
327,16901,HRabie,"2012-05-09 21:14:19",1.19759,1,hrabie
328,19275,"Christian Böhlke","2012-06-25 19:29:17",1.20663,1,christianbohlke
329,17432,sammy25,"2012-06-25 18:03:51",1.20721,1,sammy25
330,18974,affine_team2,"2012-06-18 12:16:25",1.20730,2,affineteam21
0,16497,"column means","2012-05-01 23:51:48",1.20730,1,dchudz
331,16843,cclark,"2012-05-08 14:24:07",1.20730,1,cclark
332,16847,doggy,"2012-05-08 15:10:08",1.20730,1,totoro1
333,17479,"Rob Zinkov","2012-05-23 00:16:08",1.20730,1,zaxtax
334,17702,Seendon,"2012-05-28 10:22:33",1.20730,1,informationminer
335,17723,dm11_utalca,"2012-05-28 21:25:44",1.20730,1,dm11utalca
336,18258,IMPACT_Chicago,"2012-06-07 05:07:51",1.20730,1,"csteyer,jasondrucker,naveedasem,prestonwhite,thechief,unvdictable"
337,18613,Gnanasekar,"2012-06-12 09:20:59",1.20730,1,gnanasekaras1
338,18629,bushang,"2012-06-12 15:36:19",1.20730,1,bushang
339,19125,"Nitai Dean","2012-06-20 20:32:16",1.20730,1,nitaidean
340,19695,"Skysource lab","2012-07-03 01:26:23",1.20730,1,martin0258
341,19701,"Madhuri Bhavirisetty","2012-07-03 06:50:10",1.20730,2,madhuribhavirisetty1
342,17228,makx,"2012-05-17 17:13:25",1.23828,1,makx21612
343,19612,Chaos::Explained,"2012-07-02 22:42:47",1.28581,1,chaosdecoded
344,19687,blax,"2012-07-03 23:54:10",1.29444,2,blax43364
345,17402,"Laszlo Mocsar","2012-05-21 12:10:45",1.34238,1,laszlomocsar
346,19650,dvs79,"2012-07-03 11:44:38",1.38220,2,dmitryshopin
347,19198,viejitopascuero,"2012-06-22 11:16:51",1.39096,2,viejitopascuero
348,16707,b.pop,"2012-05-06 01:11:38",1.39463,3,bpop18244
349,19192,psiquicos,"2012-06-22 10:31:59",1.45229,2,psiquicos
